Belief propagation time: 100

Probabilities: 
Vars:24134
Stmts:4418
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1284#344 prob_bp = 0.47657511594948243000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1284#343 prob_bp = 0.47739305816718240000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#780#241 prob_bp = 0.48284172077148080000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#780#240 prob_bp = 0.48346642562905130000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#113#9 prob_bp = 0.49997723810078050000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#113#8 prob_bp = 0.49999436402059330000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#112#7 prob_bp = 0.49999861654915680000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#112#4 prob_bp = 0.49999967248347010000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1244#95#unexe#2 prob_bp = 0.49999977859228156000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1231#3 prob_bp = 0.49999980547500644000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1231#0 prob_bp = 0.49999981299885910000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#98#9 prob_bp = 0.49999990016143290000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#98#8 prob_bp = 0.49999997535680730000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#754#75#unexe#2 prob_bp = 0.49999999280785650000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#757#109#unexe#2 prob_bp = 0.49999999370420360000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#97#7 prob_bp = 0.49999999396940475000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#746#21 prob_bp = 0.49999999452537660000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#745#17 prob_bp = 0.49999999452762610000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#746#18 prob_bp = 0.49999999473710766000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#745#14 prob_bp = 0.49999999473927015000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#97#4 prob_bp = 0.49999999857645360000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1244#95 prob_bp = 0.49999999929124690000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1244#92 prob_bp = 0.49999999982845940000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1244#90 prob_bp = 0.49999999995826183000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#757#109 prob_bp = 0.49999999997945190000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#112#1 prob_bp = 0.49999999998674005000
org.jfree.data.general.DatasetUtilities:iterateRangeBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#1242#75 prob_bp = 0.49999999998976290000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#757#106 prob_bp = 0.49999999999496314000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#112#0 prob_bp = 0.49999999999670750000
org.jfree.data.xy.XYIntervalSeriesCollection:getStartYValue:(II)D#216#19 prob_bp = 0.49999999999738610000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#757#104 prob_bp = 0.49999999999876243000
org.jfree.data.xy.XYIntervalSeriesCollection:getItemCount:(I)I#147#8 prob_bp = 0.49999999999916200000
org.jfree.data.xy.XYIntervalSeries:getXHighValue:(I)D#136#10 prob_bp = 0.49999999999918243000
org.jfree.data.xy.XYIntervalSeries:getYLowValue:(I)D#163#13 prob_bp = 0.49999999999935830000
org.jfree.data.general.DatasetUtilities:iterateDomainBounds:(Lorg/jfree/data/xy/XYDataset;Z)Lorg/jfree/data/Range;#755#89 prob_bp = 0.49999999999969447000
org.jfree.data.xy.XYIntervalSeries:getXHighValue:(I)D#136#9 prob_bp = 0.49999999999979705000
org.jfree.data.xy.XYIntervalDataItem:getYLowValue:()D#129#16 prob_bp = 0.49999999999984810000
org.jfree.data.xy.XYIntervalSeriesCollection:getStartXValue:(II)D#174#19 prob_bp = 0.49999999999992360000
org.jfree.data.xy.XYIntervalSeriesCollection:getEndXValue:(II)D#188#19 prob_bp = 0.49999999999992595000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#97#1 prob_bp = 0.49999999999994316000
org.jfree.data.xy.XYIntervalSeries:getXHighValue:(I)D#135#8 prob_bp = 0.49999999999994960000
org.jfree.data.xy.XYInterval:getYLow:()D#119#4 prob_bp = 0.49999999999996970000
org.jfree.data.xy.XYIntervalSeries:getXLowValue:(I)D#121#13 prob_bp = 0.49999999999998124000
org.jfree.data.xy.XYIntervalSeries:getXHighValue:(I)D#136#13 prob_bp = 0.49999999999998210000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#97#0 prob_bp = 0.49999999999998590000
org.jfree.data.xy.XYIntervalSeries:getXHighValue:(I)D#135#5 prob_bp = 0.49999999999998757000
org.jfree.data.xy.XYIntervalDataItem:getXLowValue:()D#99#16 prob_bp = 0.49999999999999556000
org.jfree.data.xy.XYIntervalDataItem:getXHighValue:()D#114#16 prob_bp = 0.49999999999999590000
