Belief propagation time: 65

Probabilities: 
Vars:305953
Stmts:7201
org.apache.commons.math.MathException:getLocalizedMessage:()Ljava/lang/String;#172#7 prob_bp = 0.49789075332887740000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#15 prob_bp = 0.49999989691212970000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#7 prob_bp = 0.49999997846487687000
org.apache.commons.math.MathException:getLocalizedMessage:()Ljava/lang/String;#172#4 prob_bp = 0.49999999465486880000
org.apache.commons.math.MathException:getLocalizedMessage:()Ljava/lang/String;#172#0 prob_bp = 0.49999999486374036000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#6 prob_bp = 0.49999999869963930000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#5 prob_bp = 0.49999999875001727000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#12 prob_bp = 0.49999999949342283000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#90#93 prob_bp = 0.49999999968914850000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#11 prob_bp = 0.49999999982736140000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#66#1 prob_bp = 0.49999999990999970000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#66#0 prob_bp = 0.49999999993060734000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#2 prob_bp = 0.49999999999555770000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#1 prob_bp = 0.49999999999878303000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#0 prob_bp = 0.49999999999957960000
org.apache.commons.math.MathException:<init>:(Ljava/lang/Throwable;)V#119#2 prob_bp = 0.49999999999958145000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:optimize:(Lorg/apache/commons/math/analysis/MultivariateRealFunction;Lorg/apache/commons/math/optimization/GoalType;[D)Lorg/apache/commons/math/optimization/RealPointValuePair;#294#76 prob_bp = 0.49999999999962970000
org.apache.commons.math.MathException:<init>:(Ljava/lang/Throwable;)V#119#1 prob_bp = 0.49999999999989586000
org.apache.commons.math.MathException:<init>:(Ljava/lang/Throwable;)V#119#0 prob_bp = 0.49999999999989686000
org.apache.commons.math.ConvergenceException:<init>:(Ljava/lang/Throwable;)V#53#2 prob_bp = 0.49999999999994750000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:optimize:(Lorg/apache/commons/math/analysis/MultivariateRealFunction;Lorg/apache/commons/math/optimization/GoalType;[D)Lorg/apache/commons/math/optimization/RealPointValuePair;#294#73 prob_bp = 0.49999999999994940000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:optimize:(Lorg/apache/commons/math/analysis/MultivariateRealFunction;Lorg/apache/commons/math/optimization/GoalType;[D)Lorg/apache/commons/math/optimization/RealPointValuePair;#294#72 prob_bp = 0.49999999999995210000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:optimize:(Lorg/apache/commons/math/analysis/MultivariateRealFunction;Lorg/apache/commons/math/optimization/GoalType;[D)Lorg/apache/commons/math/optimization/RealPointValuePair;#286#43 prob_bp = 0.49999999999997400000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:optimize:(Lorg/apache/commons/math/analysis/MultivariateRealFunction;Lorg/apache/commons/math/optimization/GoalType;[D)Lorg/apache/commons/math/optimization/RealPointValuePair;#286#41 prob_bp = 0.49999999999997535000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:optimize:(Lorg/apache/commons/math/analysis/MultivariateRealFunction;Lorg/apache/commons/math/optimization/GoalType;[D)Lorg/apache/commons/math/optimization/RealPointValuePair;#286#42 prob_bp = 0.49999999999997550000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#90#84 prob_bp = 0.49999999999998945000
org.apache.commons.math.ConvergenceException:<init>:(Ljava/lang/Throwable;)V#53#1 prob_bp = 0.49999999999999210000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#319#8 prob_bp = 0.49999999999999284000
org.apache.commons.math.ConvergenceException:<init>:(Ljava/lang/Throwable;)V#53#0 prob_bp = 0.49999999999999334000
org.apache.commons.math.optimization.OptimizationException:<init>:(Ljava/lang/Throwable;)V#50#2 prob_bp = 0.49999999999999480000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#89#79 prob_bp = 0.49999999999999734000
org.apache.commons.math.optimization.RealPointValuePair:<init>:([DDZ)V#61#0 prob_bp = 0.49999999999999770000
org.apache.commons.math.optimization.direct.MultiDirectional:evaluateNewSimplex:([Lorg/apache/commons/math/optimization/RealPointValuePair;DLjava/util/Comparator;)Lorg/apache/commons/math/optimization/RealPointValuePair;#132#131 prob_bp = 0.49999999999999770000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#320#33 prob_bp = 0.49999999999999780000
org.apache.commons.math.optimization.OptimizationException:<init>:(Ljava/lang/Throwable;)V#50#1 prob_bp = 0.49999999999999790000
org.apache.commons.math.optimization.direct.DirectSearchOptimizer:incrementIterationsCounter:()V#320#22 prob_bp = 0.49999999999999830000
org.apache.commons.math.optimization.SimpleScalarValueChecker:converged:(ILorg/apache/commons/math/optimization/RealPointValuePair;Lorg/apache/commons/math/optimization/RealPointValuePair;)Z#77#35 prob_bp = 0.49999999999999833000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#74#22 prob_bp = 0.49999999999999845000
org.apache.commons.math.optimization.direct.MultiDirectional:evaluateNewSimplex:([Lorg/apache/commons/math/optimization/RealPointValuePair;DLjava/util/Comparator;)Lorg/apache/commons/math/optimization/RealPointValuePair;#132#134 prob_bp = 0.49999999999999860000
org.apache.commons.math.optimization.direct.MultiDirectional:iterateSimplex:(Ljava/util/Comparator;)V#90#88 prob_bp = 0.49999999999999867000
org.apache.commons.math.optimization.direct.MultiDirectional:evaluateNewSimplex:([Lorg/apache/commons/math/optimization/RealPointValuePair;DLjava/util/Comparator;)Lorg/apache/commons/math/optimization/RealPointValuePair;#123#56 prob_bp = 0.49999999999999880000
org.apache.commons.math.optimization.direct.MultiDirectional:evaluateNewSimplex:([Lorg/apache/commons/math/optimization/RealPointValuePair;DLjava/util/Comparator;)Lorg/apache/commons/math/optimization/RealPointValuePair;#121#40 prob_bp = 0.49999999999999895000
