Belief propagation time: 15

Probabilities: 
Vars:3312
Stmts:1079
org.apache.commons.math3.distribution.UniformRealDistribution:isSupportUpperBoundInclusive:()Z#184#0 prob_bp = 0.29585179201846190000
org.apache.commons.math3.distribution.FDistribution:isSupportLowerBoundInclusive:()Z#275#0 prob_bp = 0.33240765046696960000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#15 prob_bp = 0.47188884401407544000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#6 prob_bp = 0.49384562746572280000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#866#186 prob_bp = 0.49930573785418664000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#866#183 prob_bp = 0.49932985952147570000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#866#181 prob_bp = 0.49944054319425840000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#864#179 prob_bp = 0.49947798790281460000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#5 prob_bp = 0.49962089044141744000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#0 prob_bp = 0.49962839755987070000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#2 prob_bp = 0.49963547297896350000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#1 prob_bp = 0.49964269134669380000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#14 prob_bp = 0.49972077372522750000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#826#3 prob_bp = 0.49972588018990580000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#9 prob_bp = 0.49972969705518017000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#11 prob_bp = 0.49974742182124765000
org.apache.commons.math3.distribution.UniformRealDistribution:density:(D)D#109#10 prob_bp = 0.49975549380409490000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#864#178 prob_bp = 0.49999800601784183000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1154#146 prob_bp = 0.49999889705183537000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#864#177 prob_bp = 0.49999946378384497000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1154#144 prob_bp = 0.49999958235010483000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#82 prob_bp = 0.49999975167234734000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#826#2 prob_bp = 0.49999976404955700000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#826#1 prob_bp = 0.49999977318207950000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#81 prob_bp = 0.49999979983051920000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#78 prob_bp = 0.49999980666580540000
org.apache.commons.math3.util.FastMath:exp:(D)D#807#3 prob_bp = 0.49999985400096320000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1123#56 prob_bp = 0.49999991947128860000
org.apache.commons.math3.util.FastMath:exp:(DD[D)D#826#0 prob_bp = 0.49999994156848990000
org.apache.commons.math3.util.FastMath:exp:(D)D#807#0 prob_bp = 0.49999996542943490000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#28 prob_bp = 0.49999998987608270000
org.apache.commons.math3.distribution.FDistribution:density:(D)D#136#95 prob_bp = 0.49999999310403265000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1154#141 prob_bp = 0.49999999781882093000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1154#140 prob_bp = 0.49999999789292693000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#22 prob_bp = 0.49999999870415720000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1154#138 prob_bp = 0.49999999910251430000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1134#91 prob_bp = 0.49999999932803040000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#77 prob_bp = 0.49999999936403317000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1106#3 prob_bp = 0.49999999984229930000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1123#55 prob_bp = 0.49999999990724910000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1123#52 prob_bp = 0.49999999991022960000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#76 prob_bp = 0.49999999993422783000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#74 prob_bp = 0.49999999993640270000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#21 prob_bp = 0.49999999994896616000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#20 prob_bp = 0.49999999994979980000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1134#90 prob_bp = 0.49999999997297560000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1134#89 prob_bp = 0.49999999997389216000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1123#51 prob_bp = 0.49999999997457734000
org.apache.commons.math3.distribution.FDistribution:density:(D)D#136#94 prob_bp = 0.49999999997725310000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1132#73 prob_bp = 0.49999999998146350000
org.apache.commons.math3.util.FastMath:log:(D)D#1096#2 prob_bp = 0.49999999999346910000
org.apache.commons.math3.special.Beta:logBeta:(DD)D#170#10 prob_bp = 0.49999999999436630000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1109#14 prob_bp = 0.49999999999481326000
org.apache.commons.math3.util.FastMath:log:(D)D#1096#0 prob_bp = 0.49999999999836175000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1109#11 prob_bp = 0.49999999999853806000
org.apache.commons.math3.special.Beta:logBeta:(DDDI)D#205#54 prob_bp = 0.49999999999861410000
org.apache.commons.math3.util.FastMath:log1p:(D)D#1353#70 prob_bp = 0.49999999999934990000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#27 prob_bp = 0.49999999999944820000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1109#10 prob_bp = 0.49999999999959055000
org.apache.commons.math3.special.Gamma:logGamma:(D)D#258#119 prob_bp = 0.49999999999961630000
org.apache.commons.math3.special.Beta:logBeta:(DDDI)D#205#52 prob_bp = 0.49999999999966926000
org.apache.commons.math3.util.FastMath:log1p:(D)D#1353#67 prob_bp = 0.49999999999983270000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#25 prob_bp = 0.49999999999984757000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1112#26 prob_bp = 0.49999999999984757000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1106#2 prob_bp = 0.49999999999986294000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1106#1 prob_bp = 0.49999999999987750000
org.apache.commons.math3.util.FastMath:log:(D[D)D#1155#154 prob_bp = 0.49999999999991670000
